summary,value
total_data_rows,96
already_has_branch_code,1
filled_branch_code,93
blank_branch_name_rows_skipped,2
ambiguous_rows,0
unmatched_rows,0

filled_rows
csv_row_number,main_branch_code,branch_name,filled_cost_center,match_method,matched_costcenter_name
3,163,(ย่อย 1) สวนแตง,2000935,main_branch_code + branch_name,(ย่อย 5) สวนแตง | ย่อย สวนแตง
4,131,(ย่อย 1) ถนนสมเด็จพระเจ้าตากสิน ซอย 6 กรุงเทพฯ,2002023,main_branch_code + branch_name,(ย่อย 1) ถนนสมเด็จพระเจ้าตากสิน ซอย 6 กรุงเทพฯ | ย่อย ถนนสมเด็จพระเจ้าตากสิน ซอย 6 กรุงเทพฯ
5,26,(ย่อย 7) ผักไห่,2000413,main_branch_code + branch_name,(ย่อย 14) ผักไห่ | ย่อย ผักไห่
6,178,(ศ.5) ศูนย์ฯ บ้านปรือพันไถ,2004270,main_branch_code + branch_name,(ศ.8) ศูนย์ฯ บ้านปรือพันไถ (ย.4) | ศูนย์ฯ บ้านปรือพันไถ
7,96,(ย่อย 5) หน้าบิ๊กซีวารินชำราบ,2002301,main_branch_code + branch_name,(ย่อย 1) หน้าบิ๊กซีวารินชำราบ | ย่อย หน้าบิ๊กซีวารินชำราบ
8,221,(ย่อย 4) ตลาดท่าเรือพระแท่น,2001746,main_branch_code + branch_name,(ย่อย 7) ตลาดท่าเรือพระแท่น | ย่อย ตลาดท่าเรือพระแท่น
9,16,(ย่อย 6) วงเวียนห้วยไผ่ (ราชบุรี),2003576,main_branch_code + branch_name,(ย่อย 15) วงเวียนห้วยไผ่ (ราชบุรี) | ย่อย วงเวียนห้วยไผ่ (ราชบุรี)
10,104,(ย่อย 13) ซอยวัดทอง สมุทรสาคร,2008546,main_branch_code + branch_name,(ย่อย 1) ซอยวัดทอง สมุทรสาคร | ย่อย ซอยวัดทอง สมุทรสาคร
11,63,(ย่อย 4) แม่จะเรา,2000149,main_branch_code + branch_name,(ย่อย 10) แม่จะเรา | ย่อย แม่จะเรา
12,342,(ศ.7) ศูนย์ฯ ตลาดสดสี่แยกปฐมพร,2006186,main_branch_code + branch_name,(ศ.3) ศูนย์ฯ ตลาดสดสี่แยกปฐมพร (ย.7) | ศูนย์ฯ ตลาดสดสี่แยกปฐมพร
13,177,(ศ.10) ศูนย์ฯ บ้านมะเกลือ,2007595,main_branch_code + branch_name,(ศ.1) ศูนย์ฯ บ้านมะเกลือ (ย.9) | ศูนย์ฯ บ้านมะเกลือ
14,232,(ศ.8) ศูนย์ฯ บ้านโคกปรือ,2005452,main_branch_code + branch_name,(ศ.12) ศูนย์ฯ บ้านโคกปรือ (ย.4) | ศูนย์ฯ บ้านโคกปรือ
15,321,(ย่อย 8) พระธาตุผาแดง,2002655,main_branch_code + branch_name,(ย่อย 7) พระธาตุผาแดง | ย่อย พระธาตุผาแดง
16,302,(ย่อย 6) หนองดี,2002014,main_branch_code + branch_name,(ย่อย 15) หนองดี | ย่อย หนองดี
17,207,(ศ.3) ศูนย์ฯ นิคมอุตสาหกรรมเอ็มเอ็มซี,2005560,main_branch_code + branch_name,(ศ.4) ศูนย์ฯ นิคมอุตสาหกรรมเอ็มเอ็มซี (ย.3) | ศูนย์ฯ นิคมอุตสาหกรรมเอ็มเอ็มซี
18,18,(ย่อย 15) พระนครเหนือ (ปราจีนบุรี),2005912,main_branch_code + branch_name,(ย่อย 3) พระนครเหนือ (ปราจีนบุรี) | ย่อย พระนครเหนือ (ปราจีนบุรี)
19,152,(ศ.11) ศูนย์ฯ หน้าสำนักงานขนส่งอำเภอแม่แตง,2008351,main_branch_code + branch_name,(ศ.7) ศูนย์ฯ หน้าสำนักงานขนส่งอำเภอแม่แตง (ย.2) | ศูนย์ฯ หน้าสำนักงานขนส่งอำเภอแม่แตง
20,113,(ย่อย 14) กระต่ายเต้น,2005181,main_branch_code + branch_name,(ย่อย 16) กระต่ายเต้น | ย่อย กระต่ายเต้น
21,217,(ศ.8) ศูนย์ฯ บ้านวังเป็ด,2005188,main_branch_code + branch_name,(ศ.5) ศูนย์ฯ บ้านวังเป็ด (ย.1) | ศูนย์ฯ บ้านวังเป็ด
22,133,(ย่อย 11) ถนนสาธุประดิษฐ์ ซอย 49 กรุงเทพฯ,2005120,main_branch_code + branch_name,(ย่อย 2) ถนนสาธุประดิษฐ์ ซอย 49 กรุงเทพฯ | ย่อย ถนนสาธุประดิษฐ์ ซอย 49 กรุงเทพฯ
23,342,(ศ.10) ศูนย์ฯ สี่แยกตลาดเก่าสวี,2008025,main_branch_code + branch_name,(ศ.4) ศูนย์ฯ สี่แยกตลาดเก่าสวี (ย.4) | ศูนย์ฯ สี่แยกตลาดเก่าสวี
24,160,(ศ.6) ศูนย์ฯ ตำบลศรีสุนทร,2005157,main_branch_code + branch_name,(ศ.8) ศูนย์ฯ ตำบลศรีสุนทร (ย.8) | ศูนย์ฯ ตำบลศรีสุนทร
25,197,(ย่อย 7) สุขสวัสดิ์ 76,2002347,main_branch_code + branch_name,(ย่อย 16) สุขสวัสดิ์ 76 | ย่อย สุขสวัสดิ์ 76
26,150,(ย่อย 4) หลัก ก.ม.18,2002636,main_branch_code + branch_name,(ย่อย 2) หลัก ก.ม.18 | ย่อย หลัก ก.ม.18
